Cause of death;Both sexes;Male;Female
All Causes;6.748.622;3.609.262;3.139.360
Communicable maternal  perinatal and nutritional conditions;672.446;350.461;321.985
Infectious and parasitic diseases;219.604;123.324;96.280
Tuberculosis;18.689;12.864;5.826
STDs excluding HIV;2.691;1.046;1.645
Syphilis;2.153;1.032;1.121
Chlamydia;103;0;103
Gonorrhoea;301;8;293
Trichomoniasis;0;0;0
Genital herpes;0;0;0
Other STDs;134;6;128
HIV/AIDS;54.811;37.927;16.884
Diarrhoeal diseases;35.490;16.512;18.978
Childhood-cluster diseases;873;567;306
Whooping cough;353;179;174
Diphtheria;15;10;5
Measles;1;0;1
Tetanus;504;377;127
Meningitis;6.546;3.768;2.778
Encephalitis;18.884;9.153;9.731
Hepatitis;6.873;3.789;3.083
Acute hepatitis A;900;450;450
Acute hepatitis B;2.654;1.661;992
Acute hepatitis C;20;11;9
Acute hepatitis E;3.300;1.667;1.633
Parasitic and vector diseases;14.777;7.907;6.869
Malaria;325;173;152
African Trypanosomiasis;0;0;0
Chagas disease;7.185;3.983;3.202
Schistosomiasis;537;279;258
Leishmaniasis;594;371;222
Lymphatic filariasis;1;1;0
Onchocerciasis;1;1;0
Cysticercosis;2.357;1.122;1.235
Echinococcosis;862;370;492
Dengue;2.222;1.179;1.043
Trachoma;0;0;0
Yellow fever;519;342;177
Rabies;174;86;88
Intestinal nematode infections;119;62;57
Ascariasis;114;59;54
Trichuriasis;0;0;0
Hookworm disease;0;0;0
Food-bourne trematodes;5;3;2
Leprosy;52;21;30
Other infectious diseases;59.801;29.707;30.094
Respiratory Infectious ;307.494;153.629;153.865
Lower respiratory infections;306.617;153.171;153.446
Upper respiratory infections;667;336;331
Otitis media;210;123;88
Maternal conditions;8.273;0;8.273
Neonatal conditions;93.290;52.523;40.766
Preterm birth complications;45.870;25.812;20.058
Birth asphyxia and birth trauma;19.095;10.664;8.430
Neonatal sepsis and infections;14.780;8.471;6.310
Other neonatal conditions;13.545;7.576;5.969
Nutritional deficiencies;43.785;20.985;22.800
Protein-energy malnutrition;31.369;15.287;16.081
Iodine deficiency;58;24;35
Vitamin A deficiency;3;2;1
Iron-deficiency anaemia;9.610;4.331;5.279
Other nutritional deficiencies;2.744;1.340;1.404
Noncommunicable diseases;5.440.427;2.774.382;2.666.045
Malignant neoplasms;1.316.724;687.362;629.363
Mouth and oropharynx cancers;29.286;21.316;7.971
Lip and oral cavity;15.536;10.584;4.952
Nasopharynx;1.847;1.303;544
Other pharynx;11.903;9.429;2.475
Oesophagus cancer;37.962;29.423;8.539
Stomach cancer;70.996;42.558;28.438
Colon and rectum cancers;128.336;65.647;62.689
Liver cancer;62.343;37.229;25.114
Liver cancer secondary to hepatitis B;15.065;8.432;6.633
Liver cancer secondary to hepatitis C;19.738;9.146;10.592
Liver cancer secondary to alcohol use;20.784;16.492;4.293
Other liver cancer;6.756;3.160;3.596
Pancreas cancer;76.882;38.441;38.441
Trachea, bronchus, lung cancers;254.009;143.195;110.814
Melanoma and other skin cancers;28.539;17.903;10.636
Malignant skin melanoma;16.787;10.472;6.314
Non-melanoma skin cancer;11.753;7.431;4.322
Breast cancer;104.519;1.027;103.492
Cervix uteri cancer;39.345;0;39.345
Corpus uteri cancer;15.932;0;15.932
Ovary cancer;28.421;0;28.421
Prostate cancer;90.583;90.583;0
Testicular cancer;2.667;2.667;0
Kidney cancer;32.852;21.168;11.684
Bladder cancer;32.219;22.737;9.482
Brain and nervous system cancers;43.581;23.987;19.595
Gallbladder and biliary tract cancer;18.777;6.656;12.121
Larynx cancer;15.091;12.692;2.399
Thyroid cancer;6.090;2.251;3.839
Mesothelioma;4.268;3.222;1.045
Lymphomas, multiple myeloma;73.735;41.085;32.650
Hodgkin lymphoma;4.081;2.450;1.631
Non-Hodgkin lymphoma;44.019;24.715;19.304
Multiple myeloma;25.634;13.920;11.714
Leukaemia;55.840;31.722;24.117
Other malignant neoplasms;64.452;31.853;32.599
Other neoplasms;44.046;22.873;21.173
Diabetes mellitus;335.454;163.827;171.627
Endocrine, blood, immune disorders;86.412;41.530;44.882
Thalassaemias;396;180;215
Sickle cell disorders and trait;3.493;1.550;1.943
Other haemoglobinopathies and haemolytic anaemias;10.180;4.373;5.808
Other endocrine, blood and immune disorders;72.343;35.426;36.917
Mental and substance use disorders;77.974;56.841;21.134
Depressive disorders;0;0;0
Major depressive disorder;0;0;0
Dysthymia;0;0;0
Bipolar disorder;242;94;148
Schizophrenia;1.598;842;756
Alcohol use disorders;31.271;26.658;4.613
Drug use disorders;43.543;28.692;14.850
Opioid use disorders;29.313;19.892;9.421
Cocaine use disorders;5.164;3.437;1.727
Amphetamine use disorders;2.024;1.405;618
Cannabis use disorders;0;0;0
Other drug use disorders;7.042;3.958;3.084
Anxiety disorders;0;0;0
Eating disorders;611;182;430
Autism and Asperger syndrome;0;0;0
Childhood behavioural disorders;0;0;0
Attention deficit/hyperactivity syndrome;0;0;0
Conduct disorder;0;0;0
Idiopathic intellectual disability;709;373;336
Other mental and behavioural disorders;0;0;0
Neurological conditions;457.840;180.870;276.971
Alzheimer disease and other dementias;341.925;115.285;226.641
Parkinson disease;41.362;24.404;16.958
Epilepsy;12.741;7.640;5.101
Multiple sclerosis;6.144;2.213;3.931
Migraine;5;2;3
Non-migraine headache;0;0;0
Other neurological conditions;55.663;31.326;24.337
Sense organ diseases;259;133;125
Cardiovascular diseases;1.906.762;983.717;923.046
Rheumatic heart disease;10.007;3.565;6.442
Hypertensive heart disease;108.621;50.584;58.037
Ischaemic heart disease;1.078.245;589.651;488.594
Stroke;427.676;199.453;228.223
Ischaemic stroke;242.483;109.573;132.910
Haemorrhagic stroke;185.193;89.880;95.313
Cardiomyopathy, myocarditis, endocarditis;68.904;40.088;28.816
Other circulatory diseases;213.309;100.375;112.934
Respiratory diseases;488.563;247.679;240.885
Chronic obstructive pulmonary disease;363.133;183.959;179.174
Asthma;14.648;6.155;8.493
Other respiratory diseases;110.782;57.565;53.217
Digestive diseases;365.974;214.642;151.331
Peptic ulcer disease;16.477;9.357;7.120
Cirrhosis of the liver;146.882;103.383;43.499
Cirrhosis due to hepatitis B;34.626;28.562;6.064
Cirrhosis due to hepatitis C;31.115;22.791;8.324
